PostingID,Title,Company,Location,Summary,Link,Description
68,Content Intern,DataCamp,"New York, NY","You'll be working with our talented Content team, a team of educators, data scientists, and technologists to help build DataCamp courses, projects, and daily...",https://www.indeed.com/rc/clk?jk=81c6b33c4b3e6360&fccid=f0dbb4617995d17b&vjs=3,"You'll be working with our talented Content team, a team of educators, data scientists, and technologists to help build DataCamp courses, projects, and daily..."
69,Crypto Data Scientist,Andreessen Horowitz,"Menlo Park, CA","Relevant multi-year work experience in data analysis or related field (e.g., as a computer scientist / software engineer / statistician / data scientist)....",https://www.indeed.com/rc/clk?jk=8a7b9a8bfed04d13&fccid=7b7420893f13af85&vjs=3,"Relevant multi-year work experience in data analysis or related field (e.g., as a computer scientist / software engineer / statistician / data scientist)...."
70,Crypto Research Analyst,Panda Analytics,"New York, NY","Collect data and conduct analysis to present meaningful market findings, insights, and commentary both for internal and external purposes....",https://www.indeed.com/company/Panda-Analytics/jobs/Crypto-Research-Analyst-8480b8d820165f1e?fccid=f90ae8f5ed600d1b&vjs=3,"Collect data and conduct analysis to present meaningful market findings, insights, and commentary both for internal and external purposes...."
71,Cryptocurrency quantitative trading intern,Cointegra,"New York, NY","Machine learning, data visualization, statistical modeling. Gather available data sets (transactions, other alternative investing data ...)....",https://www.indeed.com/company/Cointegra/jobs/Cryptocurrency-Quantitative-Trading-Intern-9b94ee3cf6b5a3a2?fccid=11650cd35ffff7a3&vjs=3,"Machine learning, data visualization, statistical modeling. Gather available data sets (transactions, other alternative investing data ...)...."
72,Customer Facing Data Scientist - Telecom,DataRobot,"New York, NY",Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. An ideal CFDS candidate should have strong fundamentals of applied data...,https://www.indeed.com/rc/clk?jk=e22fb0c879fe8800&fccid=ccacdb1cb7d4a077&vjs=3,Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. An ideal CFDS candidate should have strong fundamentals of applied data...
73,CX - Data Scientist Intern,Florida Blue,"Jacksonville, FL",Establish strong knowledge of Customer Experience in the Health Care industry and Florida Blue available tools/Platforms to define recommendations applicable to...,https://www.indeed.com/rc/clk?jk=8ebd335bf00089f8&fccid=2fdfd060fabdfb04&vjs=3,Establish strong knowledge of Customer Experience in the Health Care industry and Florida Blue available tools/Platforms to define recommendations applicable to...
74,DAAC Data Scientist,"Science System and Applications, Inc.","Hampton, VA","Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related...",https://www.indeed.com/rc/clk?jk=5315430275432dab&fccid=9c94a9e856d520b3&vjs=3,"Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related..."
75,DAAC Data Scientist,"Science System and Applications, Inc.","Hampton, VA","Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related...",https://www.indeed.com/rc/clk?jk=5315430275432dab&fccid=9c94a9e856d520b3&vjs=3,"Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related..."
76,Data & Analytics Rotational Development Program,Equifax,"Atlanta, GA","Through our data analytics, customer insights, predictive modeling, and consulting services, we deliver the analytics and insights companies need to stay ahead....",https://www.indeed.com/rc/clk?jk=c8577fc4f312929b&fccid=34c446722f3cf576&vjs=3,"Through our data analytics, customer insights, predictive modeling, and consulting services, we deliver the analytics and insights companies need to stay ahead...."
77,Data & Applied Scientist,Biblioso,"Redmond, WA","To help us build that foundation, we?re seeking a Data & Applied Scientist to join the Franchise Analytics Team....",https://www.indeed.com/company/Biblioso/jobs/Data-Applied-Scientist-913f53248ed5f488?fccid=ca61a82c3bd3756e&vjs=3,"To help us build that foundation, we?re seeking a Data & Applied Scientist to join the Franchise Analytics Team...."
